Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1,1,NORMEXAM,3,I,B8,Were there abnormal neurological exam findings?,Num,1,45,45,0,2,.,.,.,.,.,.,0,1,2,.,.,.,.,.,.,.,.,.,No abnormal findings,Yes - abnormal findings were consistent with syndromes listed in Questions 2-8,"Yes - abnormal findings were consistent with age-associated changes or irrelevant to dementing disorders (e.g., Bell's palsy)",,,,,,,,,,,,,,,"If Question 1 = 0 (No), then end form here","If Question 1 = 2 (Yes), then skip to Question 8"
2,2,PARKSIGN,3,I,B8,Parkinsonian signs,Num,1,47,47,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),,,,,"If Question 2 PARKSIGN = 0 (No), then skip to Question 3",
2a1,3,RESTTRL,3,I,B8,Resting tremor - left arm,Num,1,49,49,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),Blank if Question 2 PARKSIGN = 0 (No),,,,,
2a2,4,RESTTRR,3,I,B8,Resting tremor - right arm,Num,1,51,51,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),Blank if Question 2 PARKSIGN = 0 (No),,,,,
2b1,5,SLOWINGL,3,I,B8,Slowing of fine motor movements - left side,Num,1,53,53,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),Blank if Question 2 PARKSIGN = 0 (No),,,,,
2b2,6,SLOWINGR,3,I,B8,Slowing of fine motor movements - right side,Num,1,55,55,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),Blank if Question 2 PARKSIGN = 0 (No),,,,,
2c1,7,RIGIDL,3,I,B8,Rigidity - left arm,Num,1,57,57,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),Blank if Question 2 PARKSIGN = 0 (No),,,,,
2c2,8,RIGIDR,3,I,B8,Rigidity - right arm,Num,1,59,59,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),Blank if Question 2 PARKSIGN = 0 (No),,,,,
2d,9,BRADY,3,I,B8,Bradykinesia,Num,1,61,61,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),Blank if Question 2 PARKSIGN = 0 (No),,,,,
2e,10,PARKGAIT,3,I,B8,Parkinsonian gait disorder,Num,1,63,63,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,Blank if Question 1 NORMEXAM ne 1 (Yes),Blank if Question 2 PARKSIGN = 0 (No),,,,,
